Year,Storm,Province,concurrent_storms_combined_intensity,concurrent_storms_count,days_since_last_storm,has_concurrent_storm,nearest_concurrent_storm_distance,storms_past_30_days
2010,Ester,Dinagat Islands,0.0,0,13.0,0,-999.0,2
2010,Ester,Eastern Samar,0.0,0,13.0,0,-999.0,2
2010,Ester,Guimaras,0.0,0,13.0,0,-999.0,2
2010,Ester,Ifugao,0.0,0,13.0,0,-999.0,2
2010,Ester,Ilocos Norte,0.0,0,13.0,0,-999.0,2
2010,Ester,Ilocos Sur,0.0,0,13.0,0,-999.0,2
2010,Ester,Iloilo,0.0,0,13.0,0,-999.0,2
2010,Ester,Isabela,0.0,0,13.0,0,-999.0,2
2010,Ester,Kalinga,0.0,0,13.0,0,-999.0,2
2010,Ester,La Union,0.0,0,13.0,0,-999.0,2
2010,Ester,Laguna,0.0,0,13.0,0,-999.0,2
2010,Ester,Lanao del Norte,0.0,0,13.0,0,-999.0,2
2010,Ester,Lanao del Sur,0.0,0,13.0,0,-999.0,2
2010,Ester,Leyte,0.0,0,13.0,0,-999.0,2
2010,Ester,Maguindanao del Norte,0.0,0,13.0,0,-999.0,2
2010,Ester,Maguindanao del Sur,0.0,0,13.0,0,-999.0,2
2010,Ester,Marinduque,0.0,0,13.0,0,-999.0,2
2010,Ester,Masbate,0.0,0,13.0,0,-999.0,2
2010,Ester,Metro Manila,0.0,0,13.0,0,-999.0,2
2010,Ester,Misamis Occidental,0.0,0,13.0,0,-999.0,2
2010,Ester,Misamis Oriental,0.0,0,13.0,0,-999.0,2
2010,Ester,Mountain Province,0.0,0,13.0,0,-999.0,2
2010,Ester,Negros Occidental,0.0,0,13.0,0,-999.0,2
2010,Ester,Negros Oriental,0.0,0,13.0,0,-999.0,2
2010,Ester,Northern Samar,0.0,0,13.0,0,-999.0,2
2010,Ester,Nueva Ecija,0.0,0,13.0,0,-999.0,2
2010,Ester,Nueva Vizcaya,0.0,0,13.0,0,-999.0,2
2010,Ester,Occidental Mindoro,0.0,0,13.0,0,-999.0,2
2010,Ester,Oriental Mindoro,0.0,0,13.0,0,-999.0,2
2010,Ester,Palawan,0.0,0,13.0,0,-999.0,2
2010,Ester,Pampanga,0.0,0,13.0,0,-999.0,2
2010,Ester,Pangasinan,0.0,0,13.0,0,-999.0,2
2010,Ester,Quezon,0.0,0,13.0,0,-999.0,2
2010,Ester,Quirino,0.0,0,13.0,0,-999.0,2
2010,Ester,Rizal,0.0,0,13.0,0,-999.0,2
2010,Ester,Romblon,0.0,0,13.0,0,-999.0,2
2010,Ester,Samar,0.0,0,13.0,0,-999.0,2
2010,Ester,Sarangani,0.0,0,13.0,0,-999.0,2
2010,Ester,Siquijor,0.0,0,13.0,0,-999.0,2
2010,Ester,Sorsogon,0.0,0,13.0,0,-999.0,2
2010,Ester,South Cotabato,0.0,0,13.0,0,-999.0,2
2010,Ester,Southern Leyte,0.0,0,13.0,0,-999.0,2
2010,Ester,Sultan Kudarat,0.0,0,13.0,0,-999.0,2
2010,Ester,Sulu,0.0,0,13.0,0,-999.0,2
2010,Ester,Surigao del Norte,0.0,0,13.0,0,-999.0,2
2010,Ester,Surigao del Sur,0.0,0,13.0,0,-999.0,2
2010,Ester,Tarlac,0.0,0,13.0,0,-999.0,2
2010,Ester,Tawi-Tawi,0.0,0,13.0,0,-999.0,2
2010,Ester,Zambales,0.0,0,13.0,0,-999.0,2
2010,Ester,Zamboanga del Norte,0.0,0,13.0,0,-999.0,2
2010,Ester,Zamboanga del Sur,0.0,0,13.0,0,-999.0,2
2010,Ester,Zamboanga Sibugay,0.0,0,13.0,0,-999.0,2
2010,Florita,Abra,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Agusan del Norte,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Agusan del Sur,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Aklan,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Albay,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Antique,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Apayao,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Aurora,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Basilan,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Bataan,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Batanes,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Batangas,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Benguet,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Biliran,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Bohol,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Bukidnon,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Bulacan,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Cagayan,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Camarines Norte,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Camarines Sur,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Camiguin,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Capiz,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Catanduanes,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Cavite,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Cebu,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Cotabato,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Davao de Oro,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Davao del Norte,174.33105636070854,2,13.0,1,1042.4591362440756,1
2010,Florita,Davao del Sur,174.33105636070854,2,13.0,1,1042.4591362440756,1
