Year,Province,Population,PopulationDensity
2019,Ilocos Norte,606287,177
2019,Ilocos Sur,702741,271
2019,Iloilo,2028804,406
2019,Isabela,1676353,128
2019,Kalinga,226192,69
2019,La Union,815212,543
2019,Laguna,3312771,1718
2019,Lanao del Norte,713601,213
2019,Lanao del Sur,1165500,77
2019,Leyte,1766413,278
2019,Maguindanao,1308530,132
2019,Maguindanao del Norte,1124811,282
2019,Maguindanao del Sur,813243,164
2019,Marinduque,238270,250
2019,Masbate,905615,219
2019,Metro Manila,13363020,21569
2019,Misamis Occidental,614292,306
2019,Misamis Oriental,943222,302
2019,Mountain Province,157478,66
2019,Negros Occidental,3305264,415
2019,Negros Oriental,1492038,277
2019,Northern Samar,637825,173
2019,Nueva Ecija,2278399,400
2019,Nueva Vizcaya,488403,101
2019,Occidental Mindoro,517766,89
2019,Oriental Mindoro,895483,211
2019,Palawan,921569,63
2019,Pampanga,2389789,1194
2019,Pangasinan,3121897,572
2019,Quezon,1931684,221
2019,Quirino,200861,87
2019,Rizal,3240960,2741
2019,Romblon,305744,199
2019,Samar,790643,131
2019,Sarangani,556009,152
2019,Siquijor,101913,302
2019,Sorsogon,821514,388
2019,South Cotabato,963439,254
2019,Southern Leyte,428008,237
2019,Sultan Kudarat,845661,157
2019,Sulu,965033,212
2019,Surigao del Norte,524726,269
2019,Surigao del Sur,632254,128
2019,Tarlac,1475970,485
2019,Tawi-Tawi,430364,118
2019,Zambales,637862,176
2019,Zamboanga Sibugay,662498,190
2019,Zamboanga del Norte,1040243,142
2019,Zamboanga del Sur,1042669,232
2020,Abra,250985,60
2020,Agusan del Norte,387503,148
2020,Agusan del Sur,739367,74
2020,Aklan,615475,350
2020,Albay,1374768,534
2020,Antique,612974,224
2020,Apayao,124366,28
2020,Aurora,235750,75
2020,Basilan,426207,123
2020,Bataan,853373,622
2020,Batanes,18831,93
2020,Batangas,2908494,934
2020,Benguet,460683,166
2020,Biliran,179312,335
2020,Bohol,1394329,292
2020,Bukidnon,1541308,147
2020,Bulacan,3708890,1332
2020,Cagayan,1268603,135
2020,Camarines Norte,629699,276
2020,Camarines Sur,2068244,375
2020,Camiguin,92808,384
2020,Capiz,804952,310
2020,Catanduanes,271879,182
2020,Cavite,4344829,2847
2020,Cebu,3325385,673
2020,Cotabato,1490618,160
2020,Davao Occidental,317159,147
2020,Davao Oriental,576343,101
2020,Davao de Oro,783775,175
2020,Davao del Norte,1125057,329
2020,Davao del Sur,680481,314
2020,Dinagat Islands,128117,157
2020,Eastern Samar,477168,103
2020,Guimaras,187842,307
2020,Ifugao,207498,79
2020,Ilocos Norte,609588,178
2020,Ilocos Sur,706009,272
2020,Iloilo,2051899,411
2020,Isabela,1697050,130
2020,Kalinga,229570,70
2020,La Union,822352,548
2020,Laguna,3382193,1754
2020,Lanao del Norte,722902,216
2020,Lanao del Sur,1195518,79
2020,Leyte,1776847,280
2020,Maguindanao,1342179,135
2020,Maguindanao del Norte,1124811,282
2020,Maguindanao del Sur,813243,164
2020,Marinduque,239207,251
2020,Masbate,908920,220
2020,Metro Manila,13484462,21765
2020,Misamis Occidental,617333,308
2020,Misamis Oriental,956900,306
2020,Mountain Province,158200,66
2020,Negros Occidental,3305264,415
2020,Negros Oriental,1492038,277
2020,Northern Samar,639186,173
2020,Nueva Ecija,2310134,406
2020,Nueva Vizcaya,497432,103
2020,Occidental Mindoro,525354,90
2020,Oriental Mindoro,908339,214
2020,Palawan,939594,64
2020,Pampanga,2437709,1218
2020,Pangasinan,3163190,580
2020,Quezon,1950459,223
2020,Quirino,203828,88
2020,Rizal,3330143,2816
2020,Romblon,308985,201
