Year,Intl_Name,PH_Name,Province,Deaths,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP),Category
2011,Meari,Falcon,Tarlac,0,67100,4,7,11,95500000,40292760,Severe tropical storm
2011,Meari,Falcon,Zambales,1,25914,26,31,57,22575000,14088224,Severe tropical storm
2011,Meari,Falcon,Batangas,0,4512,36,1035,1071,0,0,Severe tropical storm
2011,Meari,Falcon,Cavite,0,8870,0,0,0,0,0,Severe tropical storm
2011,Meari,Falcon,Rizal,1,91042,0,0,0,0,900600,Severe tropical storm
2011,Meari,Falcon,Albay,0,107253,4,25,29,30800000,15962630,Severe tropical storm
2011,Meari,Falcon,Camarines Sur,0,2820,0,0,0,0,2209222.5,Severe tropical storm
2011,Meari,Falcon,Mountain Province,1,0,0,0,0,0,0,Severe tropical storm
2011,Meari,Falcon,Iloilo,0,0,25,24,49,0,0,Severe tropical storm
2011,Juaning,,Nueva Ecija,1,4603,0,0,0,0,0,Severe tropical storm
2011,Juaning,,Cavite,2,0,0,0,0,0,0,Severe tropical storm
2011,Juaning,,Quezon,2,1338,1,33,34,0,0,Severe tropical storm
2011,Juaning,,Marinduque,3,0,0,0,0,0,0,Severe tropical storm
2011,Juaning,,Albay,14,557448,180,350,530,1200279900,71145449.66,Severe tropical storm
2011,Juaning,,Catanduanes,6,227,0,0,0,13114000,9389830.58,Severe tropical storm
2011,Juaning,,Camarines Sur,8,319084,2,0,2,19750000,98494579.09,Severe tropical storm
2011,Juaning,,Camarines Norte,7,37136,315,4595,4910,0,9225826.4,Severe tropical storm
2011,Juaning,,Masbate,12,740,0,0,0,8200000,35165094,Severe tropical storm
2011,Juaning,,Sorsogon,2,14782,1,4,5,1550000,4296288.46,Severe tropical storm
2011,Juaning,,Iloilo,1,0,0,0,0,0,0,Severe tropical storm
2011,Juaning,,Siquijor,1,0,0,0,0,0,0,Severe tropical storm
2011,Juaning,,Leyte,1,0,0,0,0,0,0,Severe tropical storm
2011,Juaning,,Metro Manila,1,370,0,0,0,0,0,Severe tropical storm
2011,Juaning,,Ifugao,4,212,5,20,25,0,15148036.57,Severe tropical storm
2011,Juaning,,Benguet,1,0,0,0,0,0,0,Severe tropical storm
2011,Juaning,,La Union,0,5,0,0,0,0,0,Severe tropical storm
2011,Juaning,,Pangasinan,0,1130,0,0,0,0,0,Severe tropical storm
2011,Juaning,,Isabela,0,1304,0,6,6,0,14343.78,Severe tropical storm
2011,Juaning,,Quirino,0,20253,8,96,104,0,267834.51,Severe tropical storm
2011,Juaning,,Nueva Vizcaya,0,425,0,8,8,0,1364.96,Severe tropical storm
2011,Juaning,,Aurora,0,6848,64,266,330,0,0,Severe tropical storm
2011,Juaning,,Bulacan,0,179,0,0,0,0,841905,Severe tropical storm
2011,Juaning,,Pampanga,0,7358,5,0,5,0,0,Severe tropical storm
2011,Juaning,,Batangas,0,1230,2,200,202,0,0,Severe tropical storm
2011,Juaning,,Lanao del Norte,0,3115,0,0,0,0,0,Severe tropical storm
2011,Juaning,,Kalinga,0,3379,6,43,49,0,0,Severe tropical storm
2011,Juaning,,Rizal,0,0,0,6,6,0,0,Severe tropical storm
2011,Juaning,,Cebu,0,0,0,4,4,0,0,Severe tropical storm
2011,Nanmadol,Mina,Pangasinan,2,69939,10,13,23,61150000,100835231.1,Very strong typhoon
2011,Nanmadol,Mina,Ilocos Sur,4,5154,4,16,20,6850000,60755064.47,Very strong typhoon
2011,Nanmadol,Mina,Ilocos Norte,3,92641,35,143,178,68200000,78705904.03,Very strong typhoon
2011,Nanmadol,Mina,La Union,1,17606,10,98,108,34485000,49689587.68,Very strong typhoon
2011,Nanmadol,Mina,Zambales,4,214,4,7,11,0,0,Very strong typhoon
2011,Nanmadol,Mina,Bulacan,2,0,0,0,0,0,0,Very strong typhoon
2011,Nanmadol,Mina,Catanduanes,1,0,0,0,0,0,0,Very strong typhoon
2011,Nanmadol,Mina,Iloilo,1,20061,3,0,3,0,0,Very strong typhoon
2011,Nanmadol,Mina,Zamboanga del Sur,1,0,0,0,0,0,0,Very strong typhoon
2011,Nanmadol,Mina,Benguet,10,3570,29,187,216,84955000,70208000,Very strong typhoon
2011,Nanmadol,Mina,Abra,5,15814,4,114,118,26300000,49710000,Very strong typhoon
2011,Nanmadol,Mina,Mountain Province,1,12298,2,126,128,56800000,35989000,Very strong typhoon
2011,Nanmadol,Mina,Quezon,1,0,0,0,0,0,0,Very strong typhoon
2011,Nanmadol,Mina,Metro Manila,0,275,0,0,0,0,0,Very strong typhoon
2011,Nanmadol,Mina,Cagayan,0,127775,43,1823,1866,0,882560524,Very strong typhoon
2011,Nanmadol,Mina,Isabela,0,11908,0,20,20,0,60381223.47,Very strong typhoon
2011,Nanmadol,Mina,Nueva Vizcaya,0,155,0,34,34,0,2569875,Very strong typhoon
2011,Nanmadol,Mina,Tarlac,0,210,0,0,0,0,688000,Very strong typhoon
2011,Nanmadol,Mina,Albay,0,760,0,0,0,0,0,Very strong typhoon
2011,Nanmadol,Mina,Negros Occidental,0,9524,10,0,10,0,0,Very strong typhoon
2011,Nanmadol,Mina,Apayao,0,20475,4,296,300,22300000,171590000,Very strong typhoon
2011,Nanmadol,Mina,Kalinga,0,3089,1,41,42,55587000,70970000,Very strong typhoon
2011,Nesat,Pedring,Metro Manila,6,77096,0,0,0,122373000,1980000,Strong typhoon
2011,Nesat,Pedring,Ilocos Norte,0,45,9,0,9,0,0,Strong typhoon
2011,Nesat,Pedring,Ilocos Sur,0,1580,0,0,0,3750000,0,Strong typhoon
2011,Nesat,Pedring,La Union,1,10730,20,1128,1148,1650000,102000,Strong typhoon
2011,Nesat,Pedring,Pangasinan,2,99931,82,3373,3455,15058500,1757000,Strong typhoon
2011,Nesat,Pedring,Cagayan,1,72979,0,0,0,149375527.8,24031621,Strong typhoon
2011,Nesat,Pedring,Isabela,1,191871,1468,10374,11842,135762000,494561257.8,Strong typhoon
2011,Nesat,Pedring,Nueva Vizcaya,5,36541,153,958,1111,78450000,3545250.73,Strong typhoon
2011,Nesat,Pedring,Quirino,0,115747,1674,8492,10166,48790000,109374858.8,Strong typhoon
